Date,USD/INR
04-10-1976,8.85
05-10-1976,8.85
06-10-1976,8.85
07-10-1976,8.85
08-10-1976,8.85
11-10-1976,
12-10-1976,8.85
13-10-1976,8.85
14-10-1976,8.85
15-10-1976,8.93
18-10-1976,8.93
19-10-1976,8.93
20-10-1976,8.93
21-10-1976,8.93
22-10-1976,8.93
25-10-1976,8.93
26-10-1976,8.93
27-10-1976,8.93
28-10-1976,8.93
29-10-1976,8.97
01-11-1976,8.97
02-11-1976,
03-11-1976,8.97
04-11-1976,8.97
05-11-1976,9.05
08-11-1976,9.05
09-11-1976,9.05
10-11-1976,9.05
11-11-1976,
12-11-1976,9.01
15-11-1976,9.01
16-11-1976,9.01
17-11-1976,9.01
18-11-1976,9.01
19-11-1976,9.01
22-11-1976,8.73
23-11-1976,8.73
24-11-1976,8.93
25-11-1976,
26-11-1976,8.93
29-11-1976,8.93
30-11-1976,8.93
01-12-1976,8.93
02-12-1976,8.93
03-12-1976,8.81
06-12-1976,8.81
07-12-1976,8.81
08-12-1976,8.81
09-12-1976,8.81
10-12-1976,8.77
13-12-1976,8.77
14-12-1976,8.77
15-12-1976,8.77
16-12-1976,8.77
17-12-1976,8.81
20-12-1976,8.81
21-12-1976,8.81
22-12-1976,8.81
23-12-1976,8.81
24-12-1976,9.01
27-12-1976,8.97
28-12-1976,8.97
29-12-1976,8.97
30-12-1976,8.97
31-12-1976,8.93
03-01-1977,8.93
04-01-1977,8.93
05-01-1977,8.93
06-01-1977,8.93
07-01-1977,8.93
10-01-1977,9.01
11-01-1977,9.01
12-01-1977,9.01
13-01-1977,9.01
14-01-1977,8.89
17-01-1977,8.89
18-01-1977,8.89
19-01-1977,8.89
20-01-1977,8.89
21-01-1977,8.85
24-01-1977,8.85
25-01-1977,8.85
26-01-1977,8.85
27-01-1977,8.85
28-01-1977,8.81
31-01-1977,8.81
01-02-1977,8.81
02-02-1977,8.81
03-02-1977,8.81
04-02-1977,8.89
07-02-1977,8.89
08-02-1977,8.89
09-02-1977,8.89
10-02-1977,8.89
11-02-1977,8.85
14-02-1977,8.85
15-02-1977,8.85
16-02-1977,8.85
17-02-1977,8.85
18-02-1977,8.85
21-02-1977,
22-02-1977,8.89
23-02-1977,8.89
24-02-1977,8.89
25-02-1977,8.87
28-02-1977,8.87
01-03-1977,8.87
02-03-1977,8.87
03-03-1977,8.87
04-03-1977,8.85
07-03-1977,8.85
08-03-1977,8.85
09-03-1977,8.85
10-03-1977,8.85
11-03-1977,8.85
14-03-1977,8.85
15-03-1977,8.85
16-03-1977,8.85
17-03-1977,8.85
18-03-1977,8.83
21-03-1977,8.83
22-03-1977,8.83
23-03-1977,8.83
24-03-1977,8.83
25-03-1977,8.82
28-03-1977,8.82
29-03-1977,8.82
30-03-1977,8.82
31-03-1977,8.82
01-04-1977,8.82
04-04-1977,8.82
05-04-1977,8.82
06-04-1977,8.82
07-04-1977,8.82
08-04-1977,8.85
11-04-1977,8.85
12-04-1977,8.85
13-04-1977,8.85
14-04-1977,8.85
15-04-1977,8.85
18-04-1977,8.85
19-04-1977,8.85
20-04-1977,8.85
21-04-1977,8.85
22-04-1977,8.85
25-04-1977,8.85
26-04-1977,8.85
27-04-1977,8.85
28-04-1977,8.85
29-04-1977,8.85
02-05-1977,8.85
03-05-1977,8.85
04-05-1977,8.85
05-05-1977,8.85
06-05-1977,8.85
09-05-1977,8.85
10-05-1977,8.85
11-05-1977,8.85
12-05-1977,8.85
13-05-1977,8.81
16-05-1977,8.81
17-05-1977,8.81
18-05-1977,8.81
19-05-1977,8.81
20-05-1977,8.83
23-05-1977,8.83
24-05-1977,8.83
25-05-1977,8.83
26-05-1977,8.83
27-05-1977,8.83
30-05-1977,
31-05-1977,8.83
01-06-1977,8.83
02-06-1977,8.83
03-06-1977,8.85
06-06-1977,8.85
07-06-1977,8.85
08-06-1977,8.85
09-06-1977,8.85
10-06-1977,8.85
13-06-1977,8.85
14-06-1977,8.85
15-06-1977,8.85
